superblue18 65272 ms  k 2741
superblue4 184310 ms  k 4887
superblue16 120820 ms  k 3846
superblue5 78135 ms  k 3018
superblue1 123877 ms  k 3812
superblue3 166625 ms  k 4393
superblue10 339738 ms  k 6204
superblue7 425045 ms  k 7420
superblue18 64933 ms  k 2741
superblue4 184379 ms  k 4887
superblue16 120995 ms  k 3846
superblue5 78775 ms  k 3018
superblue1 124290 ms  k 3812
superblue3 166497 ms  k 4393
superblue10 339946 ms  k 6204
superblue7 425091 ms  k 7420
superblue18 64452 ms  k 2741
superblue4 184171 ms  k 4887
superblue16 120678 ms  k 3846
superblue5 78482 ms  k 3018
superblue1 123744 ms  k 3812
superblue3 166393 ms  k 4393
superblue10 340915 ms  k 6204
superblue7 424619 ms  k 7420
superblue18 65255 ms  k 2741
superblue4 184318 ms  k 4887
superblue16 121526 ms  k 3846
superblue5 78148 ms  k 3018
superblue1 123742 ms  k 3812
superblue3 166435 ms  k 4393
superblue10 339775 ms  k 6204
superblue7 425501 ms  k 7420
superblue18 64742 ms  k 2741
superblue4 184343 ms  k 4887
superblue16 120879 ms  k 3846
superblue5 78808 ms  k 3018
superblue1 123962 ms  k 3812
superblue3 166905 ms  k 4393
superblue10 339648 ms  k 6204
superblue7 424926 ms  k 7420
superblue18 65151 ms  k 2741
superblue4 183885 ms  k 4887
superblue16 120784 ms  k 3846
superblue5 78203 ms  k 3018
superblue1 124512 ms  k 3812
superblue3 166489 ms  k 4393
superblue10 339645 ms  k 6204
superblue7 424716 ms  k 7420
superblue18 65207 ms  k 2741
superblue4 184341 ms  k 4887
superblue16 120797 ms  k 3846
superblue5 78528 ms  k 3018
superblue1 123694 ms  k 3812
superblue3 166413 ms  k 4393
superblue10 339478 ms  k 6204
superblue7 425726 ms  k 7420
superblue18 64609 ms  k 2741
superblue4 184087 ms  k 4887
superblue16 120833 ms  k 3846
superblue5 78022 ms  k 3018
superblue1 123868 ms  k 3812
superblue3 166223 ms  k 4393
superblue10 339639 ms  k 6204
superblue7 424737 ms  k 7420
superblue18 64759 ms  k 2741
superblue4 184915 ms  k 4887
superblue16 120841 ms  k 3846
superblue5 78196 ms  k 3018
superblue1 123952 ms  k 3812
superblue3 166394 ms  k 4393
superblue10 339701 ms  k 6204
superblue7 424855 ms  k 7420
superblue18 64765 ms  k 2741
superblue4 184416 ms  k 4887
superblue16 120970 ms  k 3846
superblue5 78357 ms  k 3018
superblue1 123545 ms  k 3812
superblue3 167624 ms  k 4393
superblue10 339388 ms  k 6204
superblue7 424854 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

