superblue18 38629 ms  k 2741
superblue4 107777 ms  k 4887
superblue16 70873 ms  k 3846
superblue5 46193 ms  k 3018
superblue1 72073 ms  k 3812
superblue3 96773 ms  k 4393
superblue10 196727 ms  k 6204
superblue7 247107 ms  k 7420
superblue18 38259 ms  k 2741
superblue4 107692 ms  k 4887
superblue16 70744 ms  k 3846
superblue5 46597 ms  k 3018
superblue1 72349 ms  k 3812
superblue3 96868 ms  k 4393
superblue10 197940 ms  k 6204
superblue7 248152 ms  k 7420
superblue18 38397 ms  k 2741
superblue4 107331 ms  k 4887
superblue16 70578 ms  k 3846
superblue5 46351 ms  k 3018
superblue1 72429 ms  k 3812
superblue3 97097 ms  k 4393
superblue10 198389 ms  k 6204
superblue7 247894 ms  k 7420
superblue18 38573 ms  k 2741
superblue4 107196 ms  k 4887
superblue16 70867 ms  k 3846
superblue5 46516 ms  k 3018
superblue1 72022 ms  k 3812
superblue3 97049 ms  k 4393
superblue10 197110 ms  k 6204
superblue7 246850 ms  k 7420
superblue18 38387 ms  k 2741
superblue4 107128 ms  k 4887
superblue16 70736 ms  k 3846
superblue5 46384 ms  k 3018
superblue1 72228 ms  k 3812
superblue3 96897 ms  k 4393
superblue10 196760 ms  k 6204
superblue7 245891 ms  k 7420
superblue18 38413 ms  k 2741
superblue4 107550 ms  k 4887
superblue16 70367 ms  k 3846
superblue5 46081 ms  k 3018
superblue1 72164 ms  k 3812
superblue3 97538 ms  k 4393
superblue10 197635 ms  k 6204
superblue7 247330 ms  k 7420
superblue18 38698 ms  k 2741
superblue4 107304 ms  k 4887
superblue16 70225 ms  k 3846
superblue5 46049 ms  k 3018
superblue1 72365 ms  k 3812
superblue3 96946 ms  k 4393
superblue10 197167 ms  k 6204
superblue7 247569 ms  k 7420
superblue18 38770 ms  k 2741
superblue4 106910 ms  k 4887
superblue16 70508 ms  k 3846
superblue5 46084 ms  k 3018
superblue1 72065 ms  k 3812
superblue3 96944 ms  k 4393
superblue10 197525 ms  k 6204
superblue7 246970 ms  k 7420
superblue18 38433 ms  k 2741
superblue4 107242 ms  k 4887
superblue16 70582 ms  k 3846
superblue5 46112 ms  k 3018
superblue1 72214 ms  k 3812
superblue3 97214 ms  k 4393
superblue10 198296 ms  k 6204
superblue7 246978 ms  k 7420
superblue18 38532 ms  k 2741
superblue4 107089 ms  k 4887
superblue16 71297 ms  k 3846
superblue5 45754 ms  k 3018
superblue1 72624 ms  k 3812
superblue3 97225 ms  k 4393
superblue10 198304 ms  k 6204
superblue7 247741 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

