Max error: 0.000000
superblue18 8334 ms  k 2741
superblue4 25629 ms  k 4887
superblue16 16272 ms  k 3846
superblue5 10449 ms  k 3018
superblue1 16262 ms  k 3812
superblue3 21374 ms  k 4393
superblue10 43320 ms  k 6204
superblue7 53551 ms  k 7420
superblue18 9344 ms  k 2741
superblue4 25635 ms  k 4887
superblue16 15756 ms  k 3846
superblue5 9358 ms  k 3018
superblue1 16188 ms  k 3812
superblue3 21659 ms  k 4393
superblue10 43178 ms  k 6204
superblue7 53520 ms  k 7420
superblue18 7744 ms  k 2741
superblue4 25602 ms  k 4887
superblue16 15662 ms  k 3846
superblue5 9429 ms  k 3018
superblue1 14851 ms  k 3812
superblue3 21263 ms  k 4393
superblue10 43205 ms  k 6204
superblue7 53520 ms  k 7420
superblue18 7813 ms  k 2741
superblue4 25117 ms  k 4887
superblue16 15886 ms  k 3846
superblue5 9386 ms  k 3018
superblue1 15767 ms  k 3812
superblue3 21434 ms  k 4393
superblue10 43367 ms  k 6204
superblue7 53511 ms  k 7420
superblue18 9692 ms  k 2741
superblue4 25473 ms  k 4887
superblue16 16218 ms  k 3846
superblue5 11027 ms  k 3018
superblue1 17030 ms  k 3812
superblue3 21631 ms  k 4393
superblue10 43288 ms  k 6204
superblue7 53537 ms  k 7420
superblue18 7849 ms  k 2741
superblue4 25505 ms  k 4887
superblue16 16345 ms  k 3846
superblue5 11437 ms  k 3018
superblue1 16787 ms  k 3812
superblue3 21392 ms  k 4393
superblue10 43389 ms  k 6204
superblue7 53536 ms  k 7420
superblue18 9675 ms  k 2741
superblue4 25556 ms  k 4887
superblue16 16169 ms  k 3846
superblue5 9894 ms  k 3018
superblue1 17125 ms  k 3812
superblue3 21514 ms  k 4393
superblue10 43223 ms  k 6204
superblue7 53475 ms  k 7420
superblue18 8843 ms  k 2741
superblue4 25022 ms  k 4887
superblue16 16087 ms  k 3846
superblue5 9350 ms  k 3018
superblue1 15739 ms  k 3812
superblue3 21749 ms  k 4393
superblue10 43311 ms  k 6204
superblue7 53601 ms  k 7420
superblue18 8423 ms  k 2741
superblue4 25466 ms  k 4887
superblue16 16131 ms  k 3846
superblue5 9899 ms  k 3018
superblue1 15433 ms  k 3812
superblue3 21491 ms  k 4393
superblue10 43297 ms  k 6204
superblue7 53457 ms  k 7420
superblue18 7807 ms  k 2741
superblue4 25403 ms  k 4887
superblue16 16473 ms  k 3846
superblue5 9607 ms  k 3018
superblue1 15144 ms  k 3812
superblue3 21522 ms  k 4393
superblue10 43250 ms  k 6204
superblue7 53505 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

