superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
38629,	 	46193,		70873,		72073,		96773,		107777,		196727,		247107
38259,	 	46597,		70744,		72349,		96868,		107692,		197940,		248152
38397,	 	46351,		70578,		72429,		97097,		107331,		198389,		247894
38573,	 	46516,		70867,		72022,		97049,		107196,		197110,		246850
38387,	 	46384,		70736,		72228,		96897,		107128,		196760,		245891
38413,	 	46081,		70367,		72164,		97538,		107550,		197635,		247330
38698,	 	46049,		70225,		72365,		96946,		107304,		197167,		247569
38770,	 	46084,		70508,		72065,		96944,		106910,		197525,		246970
38433,	 	46112,		70582,		72214,		97214,		107242,		198296,		246978
38532,	 	45754,		71297,		72624,		97225,		107089,		198304,		247741
