superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
21190,	 	24537,		36851,		37767,		50110,		55438,		100468,		125444
20454,	 	24040,		36785,		37972,		49688,		55415,		100349,		125453
20626,	 	24621,		36837,		37962,		50298,		55409,		100105,		125272
19997,	 	24507,		37108,		37690,		50376,		55426,		100972,		126217
20712,	 	24616,		36963,		37693,		50562,		55720,		100992,		125903
20733,	 	24518,		36568,		37675,		50148,		55119,		101182,		125588
20690,	 	23900,		37258,		37390,		50101,		55565,		100494,		125756
20419,	 	23768,		36661,		37545,		49992,		55263,		100249,		125474
20502,	 	24118,		37148,		37833,		50358,		55333,		101040,		125393
20685,	 	24501,		36757,		37475,		50143,		55236,		100240,		125583
