superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
6342,	 	6490,		9962,		9959,		13364,		14862,		25625,		31472
5920,	 	7050,		9695,		9773,		13270,		14781,		25591,		31525
6130,	 	5590,		9689,		9596,		13355,		14717,		25612,		31497
4983,	 	6990,		9925,		9682,		13154,		14761,		25490,		31542
6207,	 	6856,		9791,		9888,		13262,		14802,		25641,		31630
6117,	 	7064,		9354,		9956,		13283,		14765,		25540,		31439
6104,	 	5646,		9860,		9964,		13267,		14775,		25611,		31487
5436,	 	6389,		9691,		10082,		13213,		14878,		25594,		31482
6209,	 	6498,		9541,		10262,		13155,		14768,		25626,		31782
4410,	 	7110,		9993,		10181,		13243,		14769,		25662,		31480
