Max error: 0.000000
superblue18 6342 ms  k 2741
superblue4 14862 ms  k 4887
superblue16 9962 ms  k 3846
superblue5 6490 ms  k 3018
superblue1 9959 ms  k 3812
superblue3 13364 ms  k 4393
superblue10 25625 ms  k 6204
superblue7 31472 ms  k 7420
superblue18 5920 ms  k 2741
superblue4 14781 ms  k 4887
superblue16 9695 ms  k 3846
superblue5 7050 ms  k 3018
superblue1 9773 ms  k 3812
superblue3 13270 ms  k 4393
superblue10 25591 ms  k 6204
superblue7 31525 ms  k 7420
superblue18 6130 ms  k 2741
superblue4 14717 ms  k 4887
superblue16 9689 ms  k 3846
superblue5 5590 ms  k 3018
superblue1 9596 ms  k 3812
superblue3 13355 ms  k 4393
superblue10 25612 ms  k 6204
superblue7 31497 ms  k 7420
superblue18 4983 ms  k 2741
superblue4 14761 ms  k 4887
superblue16 9925 ms  k 3846
superblue5 6990 ms  k 3018
superblue1 9682 ms  k 3812
superblue3 13154 ms  k 4393
superblue10 25490 ms  k 6204
superblue7 31542 ms  k 7420
superblue18 6207 ms  k 2741
superblue4 14802 ms  k 4887
superblue16 9791 ms  k 3846
superblue5 6856 ms  k 3018
superblue1 9888 ms  k 3812
superblue3 13262 ms  k 4393
superblue10 25641 ms  k 6204
superblue7 31630 ms  k 7420
superblue18 6117 ms  k 2741
superblue4 14765 ms  k 4887
superblue16 9354 ms  k 3846
superblue5 7064 ms  k 3018
superblue1 9956 ms  k 3812
superblue3 13283 ms  k 4393
superblue10 25540 ms  k 6204
superblue7 31439 ms  k 7420
superblue18 6104 ms  k 2741
superblue4 14775 ms  k 4887
superblue16 9860 ms  k 3846
superblue5 5646 ms  k 3018
superblue1 9964 ms  k 3812
superblue3 13267 ms  k 4393
superblue10 25611 ms  k 6204
superblue7 31487 ms  k 7420
superblue18 5436 ms  k 2741
superblue4 14878 ms  k 4887
superblue16 9691 ms  k 3846
superblue5 6389 ms  k 3018
superblue1 10082 ms  k 3812
superblue3 13213 ms  k 4393
superblue10 25594 ms  k 6204
superblue7 31482 ms  k 7420
superblue18 6209 ms  k 2741
superblue4 14768 ms  k 4887
superblue16 9541 ms  k 3846
superblue5 6498 ms  k 3018
superblue1 10262 ms  k 3812
superblue3 13155 ms  k 4393
superblue10 25626 ms  k 6204
superblue7 31782 ms  k 7420
superblue18 4410 ms  k 2741
superblue4 14769 ms  k 4887
superblue16 9993 ms  k 3846
superblue5 7110 ms  k 3018
superblue1 10181 ms  k 3812
superblue3 13243 ms  k 4393
superblue10 25662 ms  k 6204
superblue7 31480 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

